,country,country_code,year,life_expectancy,gdp,health,education,military,research,net_aid
2099,Nepal,NPL,2004-01-01,64.92,288.67,27.31,3.17,1.79,,425940000.0
2100,Nauru,NRU,2004-01-01,,,91.63,,,,13750000.0
2101,New Zealand,NZL,2004-01-01,79.55,25420.23,79.63,6.51,1.25,,
2102,Oman,OMN,2004-01-01,74.02,10115.04,81.91,4.03,12.01,,100340000.0
2103,Pakistan,PAK,2004-01-01,63.67,652.02,26.48,1.95,4.26,,1434140000.0
2104,Panama,PAN,2004-01-01,75.80,4604.47,70.35,3.58,0.00,0.24,22460000.0
2105,Peru,PER,2004-01-01,72.14,2448.14,55.76,2.96,1.38,0.16,469380000.0
2106,Philippines,PHL,2004-01-01,67.15,1080.09,40.37,2.57,1.36,,450150000.0
2107,Palau,PLW,2004-01-01,,8851.30,73.72,,,,19780000.0
2108,Papua New Guinea,PNG,2004-01-01,60.27,661.13,90.57,,0.62,,268980000.0
2109,Poland,POL,2004-01-01,74.85,6681.18,68.58,5.39,1.87,0.56,1520160000.0
2110,Puerto Rico,PRI,2004-01-01,78.18,20988.99,,,,,
2111,"Korea, Dem. People's Rep.",PRK,2004-01-01,67.86,,,,,,160850000.0
2112,Portugal,PRT,2004-01-01,77.67,18045.59,70.07,5.04,1.97,0.73,
2113,Paraguay,PRY,2004-01-01,71.07,1408.53,35.17,3.44,1.11,0.07,22310000.0
2114,West Bank and Gaza,PSE,2004-01-01,71.34,1337.57,,,,,1160840000.0
2115,French Polynesia,PYF,2004-01-01,73.87,,,,,,579750000.0
2116,Qatar,QAT,2004-01-01,76.92,43346.86,84.19,3.46,2.43,,3630000.0
2117,Romania,ROU,2004-01-01,71.59,3552.92,74.60,3.26,2.01,0.38,910950000.0
2118,Russian Federation,RUS,2004-01-01,65.47,4102.37,59.58,3.55,3.55,1.15,1319550000.0
2119,Rwanda,RWA,2004-01-01,53.20,236.63,46.05,,1.97,,491140000.0
2120,Saudi Arabia,SAU,2004-01-01,73.09,10756.02,71.48,6.28,8.08,0.05,20240000.0
2121,Sudan,SDN,2004-01-01,59.44,550.75,31.85,1.63,5.78,0.30,994580000.0
2122,Senegal,SEN,2004-01-01,59.72,732.32,37.30,3.85,1.34,,1066340000.0
2123,Singapore,SGP,2004-01-01,79.49,27405.27,32.46,3.68,4.42,2.10,9140000.0
2124,Solomon Islands,SLB,2004-01-01,65.11,819.31,91.85,,,,121320000.0
2125,Sierra Leone,SLE,2004-01-01,42.64,293.85,23.01,3.14,1.60,,376230000.0
2126,El Salvador,SLV,2004-01-01,69.88,2666.34,49.82,,0.81,,216270000.0
2127,San Marino,SMR,2004-01-01,81.72,45597.52,91.87,,,,
2128,Somalia,SOM,2004-01-01,52.05,,,,,,201280000.0
2129,Serbia,SRB,2004-01-01,72.68,3331.23,68.85,,2.97,0.30,1159700000.0
2130,South Sudan,SSD,2004-01-01,50.76,,,,,,
2131,Sao Tome and Principe,STP,2004-01-01,64.26,703.66,51.71,3.52,,,33680000.0
2132,Suriname,SUR,2004-01-01,68.57,3033.02,48.39,,,,25740000.0
2133,Slovak Republic,SVK,2004-01-01,73.96,10654.79,73.77,4.11,1.65,0.50,234790000.0
2134,Slovenia,SVN,2004-01-01,77.21,17260.90,73.50,5.64,1.43,1.37,62220000.0
2135,Sweden,SWE,2004-01-01,80.50,42442.22,81.37,6.72,1.44,3.39,
2136,Swaziland,SWZ,2004-01-01,45.75,2522.86,63.27,6.40,1.55,,21920000.0
2137,Sint Maarten (Dutch part),SXM,2004-01-01,,,,,,,
2138,Seychelles,SYC,2004-01-01,72.61,10176.66,91.36,,1.90,0.35,10630000.0
2139,Syrian Arab Republic,SYR,2004-01-01,74.10,1419.59,47.97,5.37,5.54,,106510000.0
2140,Turks and Caicos Islands,TCA,2004-01-01,,,,,,,3150000.0
2141,Chad,TCD,2004-01-01,47.80,454.66,40.20,1.59,1.14,,332080000.0
2142,Togo,TGO,2004-01-01,54.16,356.83,33.28,3.62,1.64,,65130000.0
2143,Thailand,THA,2004-01-01,71.79,2643.48,64.91,4.03,1.08,0.24,48860000.0
2144,Tajikistan,TJK,2004-01-01,65.54,311.42,18.61,2.77,2.17,0.07,248540000.0
2145,Turkmenistan,TKM,2004-01-01,64.34,1455.94,60.03,,,,54040000.0
2146,Timor-Leste,TLS,2004-01-01,63.19,484.09,54.45,,,,161240000.0
2147,Tonga,TON,2004-01-01,71.31,2288.41,83.17,3.90,,,19530000.0
2148,Trinidad and Tobago,TTO,2004-01-01,68.87,10290.52,49.76,,0.57,0.11,-2020000.0
2149,Tunisia,TUN,2004-01-01,74.14,3112.89,51.80,6.72,1.43,0.73,333690000.0
2150,Turkey,TUR,2004-01-01,72.03,5855.54,71.25,3.12,2.78,0.52,288880000.0
2151,Tuvalu,TUV,2004-01-01,,2232.52,98.92,,,,8070000.0
2152,Tanzania,TZA,2004-01-01,54.42,348.05,62.65,4.65,0.99,,1774200000.0
2153,Uganda,UGA,2004-01-01,50.70,292.84,25.47,4.95,2.31,0.26,1222240000.0
2154,Ukraine,UKR,2004-01-01,68.19,1367.35,58.55,5.31,2.60,1.08,376390000.0
2155,Uruguay,URY,2004-01-01,75.46,4117.31,62.95,2.50,2.10,,23660000.0
2156,United States,USA,2004-01-01,77.49,41921.81,44.25,5.31,3.79,2.49,
2157,Uzbekistan,UZB,2004-01-01,67.27,465.12,44.24,,,,245760000.0
2158,St. Vincent and the Grenadines,VCT,2004-01-01,71.02,4808.04,81.20,,,,10580000.0
2159,"Venezuela, RB",VEN,2004-01-01,73.09,4273.44,45.15,,1.29,,46970000.0
2160,British Virgin Islands,VGB,2004-01-01,,,,,,,-1220000.0
2161,Virgin Islands (U.S.),VIR,2004-01-01,78.72,35192.22,,,,,
2162,Vietnam,VNM,2004-01-01,73.96,606.90,27.40,,1.85,,1837330000.0
2163,Vanuatu,VUT,2004-01-01,68.99,1787.94,85.62,,,,38200000.0
2164,Samoa,WSM,2004-01-01,70.71,2350.86,80.88,,,,31050000.0
2165,Kosovo,XKX,2004-01-01,68.45,2135.33,,,,,
2166,"Yemen, Rep.",YEM,2004-01-01,61.29,696.05,37.85,,5.30,,266510000.0
2167,South Africa,ZAF,2004-01-01,51.87,4863.52,40.60,5.07,1.36,0.81,631610000.0
2168,Zambia,ZMB,2004-01-01,47.93,530.55,49.92,2.46,1.58,0.02,1128450000.0
2169,Zimbabwe,ZWE,2004-01-01,41.06,451.17,53.01,,4.41,,187300000.0
2170,Aruba,ABW,2005-01-01,74.23,23302.83,,4.68,,,
2171,Afghanistan,AFG,2005-01-01,57.03,257.18,9.94,,1.95,,2147483647.0
2172,Angola,AGO,2005-01-01,48.54,1576.16,49.33,2.78,4.83,,414680000.0
2173,Albania,ALB,2005-01-01,76.08,2709.14,44.25,3.24,1.35,,315080000.0
2174,Andorra,AND,2005-01-01,,39991.33,66.24,1.60,,,
2175,United Arab Emirates,ARE,2005-01-01,75.69,40298.52,59.00,,3.66,,
2176,Argentina,ARG,2005-01-01,74.69,5076.88,53.53,3.47,0.85,0.38,94120000.0
2177,Armenia,ARM,2005-01-01,73.29,1625.41,36.27,2.71,2.87,0.26,172620000.0
2178,American Samoa,ASM,2005-01-01,,8508.55,,,,,
2179,Antigua and Barbuda,ATG,2005-01-01,74.43,12079.87,66.89,,,,8060000.0
2180,Australia,AUS,2005-01-01,80.84,33982.95,66.97,4.91,1.88,,
2181,Austria,AUT,2005-01-01,79.33,38242.04,74.36,5.27,0.85,2.38,
2182,Azerbaijan,AZE,2005-01-01,68.94,1578.37,11.20,2.97,2.30,0.22,210900000.0
2183,Burundi,BDI,2005-01-01,52.70,140.82,29.86,3.63,4.44,,365580000.0
2184,Belgium,BEL,2005-01-01,78.98,36967.28,76.94,5.77,1.09,1.78,
2185,Benin,BEN,2005-01-01,57.07,587.08,49.69,3.63,0.93,,349080000.0
2186,Burkina Faso,BFA,2005-01-01,53.58,406.67,59.54,4.43,1.35,0.17,698190000.0
2187,Bangladesh,BGD,2005-01-01,67.97,485.85,36.11,,0.00,,1320430000.0
2188,Bulgaria,BGR,2005-01-01,72.56,3893.69,60.92,4.12,2.35,0.44,
2189,Bahrain,BHR,2005-01-01,75.42,18418.07,68.29,,3.21,,
2190,"Bahamas, The",BHS,2005-01-01,73.64,23405.88,44.38,,,,
2191,Bosnia and Herzegovina,BIH,2005-01-01,75.09,2928.26,57.27,,1.54,0.03,539890000.0
2192,Belarus,BLR,2005-01-01,68.85,3126.07,72.94,5.87,1.50,0.68,58010000.0
2193,Belize,BLZ,2005-01-01,69.09,3933.30,59.47,,0.96,,12000000.0
2194,Bermuda,BMU,2005-01-01,78.69,75882.03,,1.99,,,
2195,Bolivia,BOL,2005-01-01,63.54,1046.43,68.14,,1.77,,643350000.0
2196,Brazil,BRA,2005-01-01,71.84,4730.65,41.51,4.48,1.52,1.00,192500000.0
2197,Barbados,BRB,2005-01-01,74.03,14223.66,64.40,5.56,,,-2100000.0
2198,Brunei Darussalam,BRN,2005-01-01,76.21,26337.92,84.43,,2.61,,
2199,Bhutan,BTN,2005-01-01,64.92,1257.55,78.89,7.08,,,90100000.0
2200,Botswana,BWA,2005-01-01,54.55,5327.85,72.74,10.68,2.86,0.53,48270000.0
2201,Central African Republic,CAF,2005-01-01,44.74,332.95,49.29,1.64,1.14,,88970000.0
2202,Canada,CAN,2005-01-01,80.29,36189.59,70.24,4.78,1.11,1.99,
2203,Switzerland,CHE,2005-01-01,81.24,54797.55,59.46,5.22,0.86,,
2204,Channel Islands,CHI,2005-01-01,78.90,57209.25,,,,,
2205,Chile,CHL,2005-01-01,78.64,7728.61,37.90,3.23,2.41,,170410000.0
2206,China,CHN,2005-01-01,73.77,1753.42,38.77,,2.00,1.32,1799290000.0
2207,Cote d'Ivoire,CIV,2005-01-01,47.75,942.22,23.56,4.11,1.46,,91280000.0
2208,Cameroon,CMR,2005-01-01,51.89,915.09,23.57,3.12,1.34,,416540000.0
2209,"Congo, Dem. Rep.",COD,2005-01-01,53.64,213.31,23.93,,1.38,0.06,1881800000.0
2210,"Congo, Rep.",COG,2005-01-01,53.56,1737.61,59.24,1.84,1.66,,1425550000.0
2211,Colombia,COL,2005-01-01,72.26,3386.03,74.21,4.00,3.35,0.15,625020000.0
2212,Comoros,COM,2005-01-01,60.11,614.86,52.68,,,,23140000.0
2213,Cabo Verde,CPV,2005-01-01,71.52,2049.62,75.13,,0.73,,162870000.0
2214,Costa Rica,CRI,2005-01-01,78.09,4697.01,70.62,,0.00,,26220000.0
2215,Cuba,CUB,2005-01-01,77.93,3786.84,93.08,10.56,3.87,0.55,90140000.0
2216,Curacao,CUW,2005-01-01,,,,,,,
2217,Cayman Islands,CYM,2005-01-01,,,,,,,
2218,Cyprus,CYP,2005-01-01,78.59,25324.49,41.81,6.34,2.01,0.37,
2219,Czech Republic,CZE,2005-01-01,75.92,13317.73,87.31,3.90,1.79,1.17,
2220,Germany,DEU,2005-01-01,78.93,34696.62,76.13,,1.33,2.42,
2221,Djibouti,DJI,2005-01-01,57.98,910.36,68.46,8.37,6.33,,74170000.0
2222,Dominica,DMA,2005-01-01,,5250.35,65.78,,,,21110000.0
2223,Denmark,DNK,2005-01-01,77.84,48799.82,84.48,8.08,1.31,2.39,
2224,Dominican Republic,DOM,2005-01-01,71.70,3681.06,34.87,,0.81,,76060000.0
2225,Algeria,DZA,2005-01-01,72.20,3102.04,70.48,,2.83,0.07,347380000.0
2226,Ecuador,ECU,2005-01-01,74.14,3021.94,22.30,,2.30,,232480000.0
2227,"Egypt, Arab Rep.",EGY,2005-01-01,69.43,1196.73,39.21,4.79,2.85,0.24,1048580000.0
2228,Eritrea,ERI,2005-01-01,58.59,262.07,36.93,,,,349740000.0
2229,Spain,ESP,2005-01-01,80.17,26510.72,72.37,4.13,1.38,1.10,
2230,Estonia,EST,2005-01-01,72.57,10338.32,76.70,4.84,1.90,0.92,
2231,Ethiopia,ETH,2005-01-01,56.24,161.88,61.41,,2.76,0.18,1929120000.0
2232,Finland,FIN,2005-01-01,78.82,38969.17,73.81,6.04,1.34,3.33,
2233,Fiji,FJI,2005-01-01,68.49,3658.62,81.38,5.12,1.43,,66080000.0
2234,France,FRA,2005-01-01,80.16,34879.73,77.99,5.50,2.40,2.04,
2235,Faroe Islands,FRO,2005-01-01,79.29,35808.83,,,,,
2236,"Micronesia, Fed. Sts.",FSM,2005-01-01,67.92,2352.64,93.39,,,,106440000.0
2237,Gabon,GAB,2005-01-01,59.47,6865.32,40.47,,1.25,,50300000.0
2238,United Kingdom,GBR,2005-01-01,79.05,41524.07,80.85,5.20,2.20,1.63,
2239,Georgia,GEO,2005-01-01,72.99,1530.06,19.17,2.48,3.34,0.18,293340000.0
2240,Ghana,GHA,2005-01-01,58.70,501.72,64.86,7.42,0.60,,1152640000.0
2241,Gibraltar,GIB,2005-01-01,,,,,,,
2242,Guinea,GIN,2005-01-01,52.59,303.76,19.67,1.85,,,192910000.0
2243,"Gambia, The",GMB,2005-01-01,57.89,433.29,58.34,1.14,0.48,,60760000.0
2244,Guinea-Bissau,GNB,2005-01-01,52.34,401.15,18.96,,2.06,,66760000.0
2245,Equatorial Guinea,GNQ,2005-01-01,53.67,13129.60,56.05,,,,38130000.0
2246,Greece,GRC,2005-01-01,79.24,22551.74,60.11,3.96,2.84,0.58,
2247,Grenada,GRD,2005-01-01,71.37,6754.38,53.03,,,,52600000.0
2248,Greenland,GRL,2005-01-01,69.22,28985.39,,,,,
2249,Guatemala,GTM,2005-01-01,69.65,2064.05,31.70,,0.38,0.04,254220000.0
2250,Guam,GUM,2005-01-01,76.75,26496.04,,,,,
2251,Guyana,GUY,2005-01-01,65.58,1110.96,74.81,8.14,2.24,,149800000.0
2252,"Hong Kong SAR, China",HKG,2005-01-01,81.58,26649.75,,4.13,,0.77,
2253,Honduras,HND,2005-01-01,71.48,1405.78,49.98,,0.64,,691860000.0
2254,Croatia,HRV,2005-01-01,75.24,10224.24,86.02,,1.76,0.86,123460000.0
2255,Haiti,HTI,2005-01-01,59.18,465.31,21.29,,0.00,,425810000.0
2256,Hungary,HUN,2005-01-01,72.65,11161.72,70.03,5.35,1.42,0.93,
2257,Indonesia,IDN,2005-01-01,67.17,1263.48,28.79,2.87,0.75,,2147483647.0
2258,Isle of Man,IMN,2005-01-01,,36980.11,,,,,
2259,India,IND,2005-01-01,64.52,729.00,26.49,3.13,2.75,0.81,1875960000.0
2260,Ireland,IRL,2005-01-01,78.94,50886.83,75.97,4.53,0.54,1.19,
2261,"Iran, Islamic Rep.",IRN,2005-01-01,71.93,3135.19,38.48,4.20,3.09,0.64,100670000.0
2262,Iraq,IRQ,2005-01-01,68.38,1848.97,67.35,,2.24,,2147483647.0
2263,Iceland,ISL,2005-01-01,81.50,56249.75,81.43,7.38,,2.70,
2264,Israel,ISR,2005-01-01,80.15,20611.18,59.29,5.75,7.57,4.04,
2265,Italy,ITA,2005-01-01,80.78,31959.26,76.31,4.25,1.81,1.05,
2266,Jamaica,JAM,2005-01-01,73.43,4184.05,48.81,4.62,0.53,,39770000.0
2267,Jordan,JOR,2005-01-01,72.64,2360.53,53.60,,4.80,,709850000.0
2268,Japan,JPN,2005-01-01,81.93,37217.65,81.37,3.48,0.93,3.31,
2269,Kazakhstan,KAZ,2005-01-01,65.91,3771.28,61.96,2.26,1.04,0.28,225290000.0
2270,Kenya,KEN,2005-01-01,53.52,530.08,42.29,7.34,1.69,,756570000.0
2271,Kyrgyz Republic,KGZ,2005-01-01,67.96,476.55,40.89,4.87,3.08,0.20,267480000.0
2272,Cambodia,KHM,2005-01-01,62.97,472.45,27.70,,1.13,,538570000.0
2273,Kiribati,KIR,2005-01-01,64.78,1214.50,94.05,,,,28120000.0
2274,St. Kitts and Nevis,KNA,2005-01-01,,11053.74,40.04,3.86,,,2610000.0
2275,"Korea, Rep.",KOR,2005-01-01,78.43,18657.52,52.89,3.90,2.47,2.63,
2276,Kuwait,KWT,2005-01-01,73.65,35694.38,79.84,4.74,4.34,0.10,
2277,Lao PDR,LAO,2005-01-01,61.73,476.16,17.02,2.41,0.44,,297420000.0
2278,Lebanon,LBN,2005-01-01,76.83,5339.42,44.47,2.67,4.52,,230720000.0
2279,Liberia,LBR,2005-01-01,55.07,168.21,19.33,,1.46,,222090000.0
2280,Libya,LBY,2005-01-01,71.47,8158.89,64.65,,1.46,,23840000.0
2281,St. Lucia,LCA,2005-01-01,73.00,5723.34,46.35,5.08,,,10680000.0
2282,Liechtenstein,LIE,2005-01-01,80.67,104994.02,,,,,
2283,Sri Lanka,LKA,2005-01-01,73.97,1259.81,45.56,,2.64,,1164900000.0
2284,Lesotho,LSO,2005-01-01,43.66,873.57,52.57,14.79,2.00,,68440000.0
2285,Lithuania,LTU,2005-01-01,71.25,7863.16,67.77,4.87,1.16,0.75,
2286,Luxembourg,LUX,2005-01-01,79.43,79494.18,84.92,,0.66,1.59,
2287,Latvia,LVA,2005-01-01,71.36,7558.74,57.06,,1.61,0.53,
2288,"Macao SAR, China",MAC,2005-01-01,78.65,25829.99,,2.29,,0.09,
2289,St. Martin (French part),MAF,2005-01-01,77.87,,,,,,
2290,Morocco,MAR,2005-01-01,70.44,2023.25,28.45,,3.26,,732640000.0
2291,Monaco,MCO,2005-01-01,,126599.40,88.19,,,0.04,
2292,Moldova,MDA,2005-01-01,67.68,831.21,45.62,7.16,0.40,0.40,169710000.0
2293,Madagascar,MDG,2005-01-01,61.19,275.52,52.12,3.85,1.07,0.18,916150000.0
2294,Maldives,MDV,2005-01-01,74.33,3488.49,74.82,5.21,,,76570000.0
2295,Mexico,MEX,2005-01-01,75.28,7893.96,43.33,4.91,0.42,0.40,201910000.0
2296,Marshall Islands,MHL,2005-01-01,,2645.98,84.24,,,,56770000.0
2297,"Macedonia, FYR",MKD,2005-01-01,74.09,3063.60,60.12,,2.03,,227400000.0
2298,Mali,MLI,2005-01-01,52.58,484.81,47.96,3.52,1.38,,724590000.0
2299,Malta,MLT,2005-01-01,79.30,15835.35,67.89,,0.82,0.57,
2300,Myanmar,MMR,2005-01-01,63.56,239.81,9.01,,1.56,,144830000.0
2301,Montenegro,MNE,2005-01-01,73.58,3674.53,71.17,,2.69,0.92,3860000.0
2302,Mongolia,MNG,2005-01-01,65.17,998.82,48.85,,1.18,0.24,221020000.0
2303,Northern Mariana Islands,MNP,2005-01-01,,16482.32,,,,,
2304,Mozambique,MOZ,2005-01-01,50.64,365.60,62.70,4.43,0.81,,1289860000.0
2305,Mauritania,MRT,2005-01-01,60.66,692.58,48.34,,3.05,,188800000.0
2306,Mauritius,MUS,2005-01-01,72.43,5116.05,49.56,4.20,0.17,0.37,34400000.0
2307,Malawi,MWI,2005-01-01,48.28,286.79,73.96,,1.05,,573650000.0
2308,Malaysia,MYS,2005-01-01,73.60,5564.17,51.36,,2.17,,29220000.0
2309,Namibia,NAM,2005-01-01,55.98,3582.26,48.91,,2.65,,113380000.0
2310,New Caledonia,NCL,2005-01-01,75.17,,,,,,
2311,Niger,NER,2005-01-01,53.94,252.50,41.66,,0.96,,523090000.0
2312,Nigeria,NGA,2005-01-01,48.67,804.01,29.17,,0.60,,2147483647.0
2313,Nicaragua,NIC,2005-01-01,71.84,1175.12,56.46,,0.54,,764520000.0
2314,Netherlands,NLD,2005-01-01,79.35,41577.16,69.48,5.16,1.41,1.79,
2315,Norway,NOR,2005-01-01,80.04,66775.39,83.54,6.87,1.58,1.48,
2316,Nepal,NPL,2005-01-01,65.49,318.75,27.70,3.36,1.93,,423130000.0
2317,Nauru,NRU,2005-01-01,,,92.41,,,,9240000.0
2318,New Zealand,NZL,2005-01-01,79.85,27750.90,79.68,6.28,1.21,1.12,
2319,Oman,OMN,2005-01-01,74.41,12398.59,82.34,3.52,11.75,,19040000.0
2320,Pakistan,PAK,2005-01-01,63.88,714.04,23.54,2.25,4.20,0.44,1616730000.0
2321,Panama,PAN,2005-01-01,75.97,4933.08,69.60,,0.00,0.25,20230000.0
2322,Peru,PER,2005-01-01,72.46,2754.78,57.10,2.88,1.51,,455670000.0
2323,Philippines,PHL,2005-01-01,67.27,1196.54,38.37,2.43,1.33,0.11,567710000.0
2324,Palau,PLW,2005-01-01,69.13,9710.15,71.77,,,,23670000.0
2325,Papua New Guinea,PNG,2005-01-01,60.64,799.42,85.27,,0.63,,266750000.0
2326,Poland,POL,2005-01-01,75.00,8021.25,69.30,5.46,1.93,0.57,
2327,Puerto Rico,PRI,2005-01-01,78.30,21959.32,,,,,
2328,"Korea, Dem. People's Rep.",PRK,2005-01-01,68.16,,,,,,87450000.0
2329,Portugal,PRT,2005-01-01,78.07,18784.95,70.06,5.07,2.05,0.76,
2330,Paraguay,PRY,2005-01-01,71.29,1507.15,38.78,,0.94,0.07,51220000.0
2331,West Bank and Gaza,PSE,2005-01-01,71.47,1455.19,,,,,1015710000.0
2332,French Polynesia,PYF,2005-01-01,74.23,,,,,,
2333,Qatar,QAT,2005-01-01,77.02,53207.33,84.13,3.97,1.99,,
2334,Romania,ROU,2005-01-01,71.88,4676.32,80.43,3.46,1.98,0.41,
2335,Russian Federation,RUS,2005-01-01,65.53,5323.47,61.98,3.77,3.58,1.07,
2336,Rwanda,RWA,2005-01-01,54.75,286.57,46.82,,1.74,,572710000.0
2337,Saudi Arabia,SAU,2005-01-01,73.18,13273.65,72.49,5.43,7.73,0.04,25110000.0
2338,Sudan,SDN,2005-01-01,59.84,661.63,34.36,1.56,4.39,0.30,1826110000.0
2339,Senegal,SEN,2005-01-01,60.36,772.65,55.70,5.14,1.43,,701350000.0
2340,Singapore,SGP,2005-01-01,79.99,29869.85,26.81,3.22,4.29,2.16,
2341,Solomon Islands,SLB,2005-01-01,65.55,881.96,94.08,,,,198400000.0
2342,Sierra Leone,SLE,2005-01-01,43.60,321.00,21.85,2.84,1.45,,339980000.0
2343,El Salvador,SLV,2005-01-01,70.18,2874.26,53.02,2.73,0.78,,199170000.0
2344,San Marino,SMR,2005-01-01,81.98,47035.65,91.76,,,,
2345,Somalia,SOM,2005-01-01,52.36,,,,,,240220000.0
2346,Serbia,SRB,2005-01-01,72.83,3528.13,66.00,,2.40,0.42,1068490000.0
2347,South Sudan,SSD,2005-01-01,51.17,,,,,,
2348,Sao Tome and Principe,STP,2005-01-01,64.58,824.01,52.73,5.25,,,32700000.0
2349,Suriname,SUR,2005-01-01,68.85,3645.85,51.20,,,,44040000.0
2350,Slovak Republic,SVK,2005-01-01,73.90,11669.42,74.40,3.78,1.68,0.50,
2351,Slovenia,SVN,2005-01-01,77.61,18169.18,73.13,5.58,1.41,1.41,
2352,Sweden,SWE,2005-01-01,80.55,43085.35,81.16,6.56,1.42,3.39,
2353,Swaziland,SWZ,2005-01-01,45.86,2812.59,67.55,7.42,1.91,,46710000.0
2354,Sint Maarten (Dutch part),SXM,2005-01-01,,,,,,,
2355,Seychelles,SYC,2005-01-01,72.13,11092.51,92.64,,1.60,0.30,17200000.0
2356,Syrian Arab Republic,SYR,2005-01-01,74.36,1591.53,50.50,,5.03,,71100000.0
2357,Turks and Caicos Islands,TCA,2005-01-01,,,,,,,5200000.0
2358,Chad,TCD,2005-01-01,47.97,660.18,39.84,1.69,0.83,,386440000.0
2359,Togo,TGO,2005-01-01,54.51,379.18,36.71,3.41,1.57,,82610000.0
2360,Thailand,THA,2005-01-01,72.16,2874.39,64.39,3.94,1.05,0.22,-167490000.0
2361,Tajikistan,TJK,2005-01-01,66.10,339.76,19.43,3.51,,0.10,252440000.0
2362,Turkmenistan,TKM,2005-01-01,64.43,1706.96,57.58,,,,29050000.0
2363,Timor-Leste,TLS,2005-01-01,64.16,496.21,57.37,,1.68,,184620000.0
2364,Tonga,TON,2005-01-01,71.45,2599.46,87.07,,,,32000000.0
2365,Trinidad and Tobago,TTO,2005-01-01,68.98,12323.14,49.75,,0.61,0.09,-1980000.0
2366,Tunisia,TUN,2005-01-01,74.30,3194.56,51.48,6.45,1.45,0.71,368350000.0
2367,Turkey,TUR,2005-01-01,72.45,7117.23,67.84,,2.50,0.59,399330000.0
2368,Tuvalu,TUV,2005-01-01,,2252.85,99.05,,,,9120000.0
2369,Tanzania,TZA,2005-01-01,55.60,446.16,63.59,4.61,0.82,,1492450000.0
2370,Uganda,UGA,2005-01-01,51.77,321.44,25.23,,2.40,0.22,1195330000.0
2371,Ukraine,UKR,2005-01-01,67.96,1828.72,59.46,6.06,2.79,1.17,404100000.0
2372,Uruguay,URY,2005-01-01,75.63,5220.96,63.41,2.71,2.08,,17620000.0
2373,United States,USA,2005-01-01,77.49,44307.92,44.36,5.07,3.84,2.51,
2374,Uzbekistan,UZB,2005-01-01,67.35,546.78,44.57,,,,169070000.0
2375,St. Vincent and the Grenadines,VCT,2005-01-01,71.23,5064.22,80.87,6.35,,,7860000.0
2376,"Venezuela, RB",VEN,2005-01-01,73.20,5435.74,45.87,,1.41,,49170000.0
2377,British Virgin Islands,VGB,2005-01-01,,,,,,,
2378,Virgin Islands (U.S.),VIR,2005-01-01,78.52,41154.06,,,,,
2379,Vietnam,VNM,2005-01-01,74.14,699.50,26.40,,1.78,,1910900000.0
2380,Vanuatu,VUT,2005-01-01,69.32,1886.39,85.12,,,,39890000.0
2381,Samoa,WSM,2005-01-01,71.00,2587.52,80.31,,,,43680000.0
2382,Kosovo,XKX,2005-01-01,68.70,2190.55,,,,,
2383,"Yemen, Rep.",YEM,2005-01-01,61.50,817.08,33.86,,4.87,,296000000.0
2384,South Africa,ZAF,2005-01-01,51.56,5414.64,42.68,5.06,1.38,0.86,681230000.0
2385,Zambia,ZMB,2005-01-01,49.43,691.81,52.37,1.74,1.67,0.02,1169050000.0
2386,Zimbabwe,ZWE,2005-01-01,41.76,443.24,42.54,,2.28,,372940000.0
2387,Aruba,ABW,2006-01-01,74.38,24015.42,,,,,
2388,Afghanistan,AFG,2006-01-01,57.43,280.25,14.29,,1.86,,2147483647.0
2389,Angola,AGO,2006-01-01,49.01,2253.84,66.54,2.86,4.71,,163520000.0
2390,Albania,ALB,2006-01-01,76.29,3005.01,43.93,3.16,1.57,,324040000.0
2391,Andorra,AND,2006-01-01,,42419.40,67.11,2.19,,,
2392,United Arab Emirates,ARE,2006-01-01,75.90,42950.10,59.45,,3.23,,
2393,Argentina,ARG,2006-01-01,74.85,5878.78,54.70,3.65,0.79,0.40,110430000.0
2394,Armenia,ARM,2006-01-01,73.55,2126.62,44.84,2.72,2.95,0.24,215390000.0
2395,American Samoa,ASM,2006-01-01,,8457.24,,,,,
2396,Antigua and Barbuda,ATG,2006-01-01,74.62,13599.91,67.97,,,,3280000.0
2397,Australia,AUS,2006-01-01,81.04,36084.86,66.67,4.74,1.90,2.18,
2398,Austria,AUT,2006-01-01,79.88,40430.99,74.75,5.25,0.79,2.37,
2399,Azerbaijan,AZE,2006-01-01,69.38,2473.09,14.01,2.56,3.42,0.17,207900000.0
2400,Burundi,BDI,2006-01-01,53.05,154.92,30.71,,3.51,,432020000.0
2401,Belgium,BEL,2006-01-01,79.38,38852.36,75.92,5.84,1.05,1.81,
2402,Benin,BEN,2006-01-01,57.48,609.02,50.22,3.50,0.91,,400310000.0
2403,Burkina Faso,BFA,2006-01-01,54.40,422.42,56.86,4.46,1.24,,900550000.0
2404,Bangladesh,BGD,2006-01-01,68.43,495.85,37.15,2.13,0.00,,1222890000.0
2405,Bulgaria,BGR,2006-01-01,72.61,4513.14,56.95,3.91,2.19,0.44,
2406,Bahrain,BHR,2006-01-01,75.57,19669.32,69.07,2.87,3.10,,
2407,"Bahamas, The",BHS,2006-01-01,73.86,23721.16,47.21,,,,
2408,Bosnia and Herzegovina,BIH,2006-01-01,75.23,3351.96,60.12,,1.39,0.02,536840000.0
2409,Belarus,BLR,2006-01-01,69.40,3848.22,70.23,6.08,1.71,0.66,74760000.0
